Neighborhood,Latitude,Longitude
Bangalore Cantonment,12.975660000000062,77.60542000000004
Domlur,12.943290000000047,77.65602000000007
Indiranagar,13.030060000000049,77.49526000000003
Rajajinagar,13.005440000000021,77.55693000000008
Malleswaram,13.00632005596653,77.56839983128529
Pete area,12.966180000000065,77.58690000000007
Sadashivanagar,13.014830000000075,77.57771000000008
Seshadripuram,12.993550000000027,77.57988000000006
Shivajinagar,12.987180000000023,77.60398000000004
Ulsoor,12.989080000000058,77.62795000000006
Vasanth Nagar,12.99105000000003,77.58855000000005
Bellandur,12.927340000000072,77.67169000000007
CV Raman Nagar,12.978999697242791,77.65613184800841
Hoodi,12.99201000000005,77.71506000000005
Krishnarajapuram,13.000390000000039,77.68368000000004
Mahadevapura,12.994090000000028,77.66633000000007
Marathahalli,12.954660000000047,77.70752000000005
Varthur,12.943490000000054,77.74701000000005
Whitefield,12.975230000000067,77.75238000000007
Banaswadi,13.019526511351998,77.65502797845224
HBR Layout,13.026410000000055,77.62437000000006
Horamavu,13.038700000000063,77.66192000000007
Kalyan Nagar,12.968020000000024,77.52114000000006
Kammanahalli,13.014260000000036,77.63674000000003
Lingarajapuram,13.005480000000034,77.62597000000005
Ramamurthy Nagar,13.023810000000026,77.67785000000003
Hebbal,13.049810000000036,77.58903000000004
Jalahalli,13.054500000000075,77.52658000000008
Mathikere,13.032340000000033,77.55864000000008
Peenya,13.031880000000058,77.52654000000007
R. T. Nagar,13.024450000000058,77.59583000000003
Vidyaranyapura,13.079290000000071,77.55912000000006
Yelahanka,13.09931000000006,77.59259000000003
Yeshwanthpur,13.029540000000054,77.54020000000008
Bommanahalli,12.90307000000007,77.62445000000008
Bommasandra,12.817510000000027,77.67881000000006
BTM Layout,12.914950000000033,77.60999000000004
Electronic City,12.845410000000072,77.66434000000004
HSR Layout,12.912220000000048,77.64470000000006
Koramangala,12.920040000000029,77.62546000000003
Madiwala,12.920520000000067,77.62090000000006
Banashankari,12.922310000000039,77.56988000000007
Basavanagudi,12.938980000000072,77.57137000000006
Girinagar,12.942790000000059,77.54122000000007
J. P. Nagar,12.908310000000029,77.59024000000005
Jayanagar,12.928680000000043,77.58270000000005
Kumaraswamy Layout,12.898190000000056,77.55927000000008
Padmanabhanagar,12.918180000000064,77.55925000000008
Uttarahalli,12.89757000000003,77.52830000000006
Anjanapura,12.858110000000067,77.55910000000006
Arekere,12.885670000000061,77.59673000000004
Begur,12.882460000000037,77.62477000000007
Gottigere,12.855660000000057,77.58557000000008
Hulimavu,12.880630000000053,77.60147000000006
Kothnur,13.064560000000029,77.64782000000008
Basaveshwaranagar,12.986740000000054,77.54389000000003
Kamakshipalya,12.986990000000048,77.52484000000004
Kengeri,12.90868000000006,77.48718000000008
Mahalakshmi Layout,13.016350000000045,77.54481000000004
Nagarbhavi,12.956240000000037,77.50936000000007
Nandini Layout,13.014810000000068,77.53891000000004
Nayandahalli,12.942050000000052,77.52100000000007
Rajajinagar,13.005440000000021,77.55693000000008
Rajarajeshwari Nagar,12.93178000000006,77.52668000000006
Vijayanagar,13.076000000000022,77.65240000000006
